Table ID,Player Name,Rank,Score,Wonder ID,VP - Civilian,VP - Science,VP - Commerce,VP - Guild,VP - Coins,VP - Wonder,VP - Military (Victory),VP - Military (Defeat)
655035944,kennyhe1,3,54,12,12,10,3,7,6,10,8,-2
655035944,jane4005,4,47,11,18,0,4,0,2,7,16,0
655028347,kennyhe1,1,60,12,33,1,2,7,3,10,8,-4
655028347,jane4005,2,56,14,0,55,0,0,1,3,1,-4
655028347,Kristjan Sigurdur,3,52,11,11,0,0,8,8,7,18,0
655028347,aspam1729,4,36,10,11,0,5,0,5,10,8,-3
655029055,kennyhe1,1,65,12,16,1,2,22,2,10,13,-1
655029055,Kristjan Sigurdur,2,44,13,13,16,4,13,4,0,0,-6
655029055,jane4005,3,43,11,11,0,4,0,3,7,18,0
655029055,aspam1729,4,37,1,21,5,0,0,8,3,5,-5
655014628,jane4005,1,59,8,18,0,0,24,3,20,0,-6
655014628,Kristjan Sigurdur,2,59,11,29,0,0,4,1,7,18,0
655014628,kennyhe1,3,55,14,11,21,0,10,4,3,9,-3
654618412,Kristjan Sigurdur,1,59,2,8,48,0,0,4,3,0,-4
654618412,kennyhe1,2,53,10,28,0,0,7,3,5,11,-1
654618412,jane4005,3,50,1,15,0,4,3,1,15,13,-1
654602797,kennyhe1,1,64,10,28,0,4,9,1,10,13,-1
654602797,jane4005,2,55,14,6,43,0,7,1,3,0,-5
654602797,Kristjan Sigurdur,3,45,2,13,1,6,0,4,10,13,-2
654606074,Kristjan Sigurdur,1,44,11,12,0,4,0,12,3,14,-1
654606074,kennyhe1,2,41,10,21,1,0,4,1,5,10,-1
654606074,jane4005,3,36,13,13,0,3,13,6,7,0,-6
654607231,kennyhe1,1,58,8,6,0,7,7,6,20,14,-2
654607231,Kristjan Sigurdur,2,43,10,14,0,2,0,5,10,13,-1
654607231,jane4005,3,36,9,26,0,0,10,6,0,0,-6
654592237,Kristjan Sigurdur,1,54,5,0,38,0,0,2,10,8,-4
654592237,jane4005,2,52,7,13,0,3,0,9,10,17,0
654592237,kennyhe1,3,50,10,30,0,0,11,2,10,1,-4
654598053,Kristjan Sigurdur,1,58,5,0,48,0,8,3,3,1,-5
654598053,jane4005,2,47,3,21,1,0,6,5,10,8,-4
654598053,kennyhe1,3,46,8,22,0,5,0,1,0,18,0
654589899,Kristjan Sigurdur,1,60,5,10,28,0,0,3,3,16,0
654589899,kennyhe1,2,57,8,9,1,9,8,14,13,5,-2
654589899,jane4005,3,52,6,35,0,3,6,1,10,0,-3
654589125,kennyhe1,1,52,9,19,25,6,0,6,0,1,-5
654589125,Kristjan Sigurdur,2,50,11,10,0,3,4,8,7,18,0
654589125,jane4005,3,48,1,17,1,0,7,4,15,8,-4
654581531,jane4005,1,54,11,20,0,6,0,3,7,18,0
654581531,kennyhe1,2,47,10,23,0,1,9,2,10,6,-4
654581531,Kristjan Sigurdur,3,45,8,7,10,0,8,9,13,3,-5
654573457,kennyhe1,1,62,11,26,0,7,0,4,7,18,0
654573457,Kristjan Sigurdur,2,59,13,13,26,0,11,5,0,8,-4
654573457,jane4005,3,44,12,15,10,0,7,6,10,1,-5
654574352,kennyhe1,1,54,11,20,0,0,7,8,7,13,-1
654574352,Kristjan Sigurdur,2,51,2,8,36,0,7,1,3,1,-5
654574352,jane4005,3,49,13,18,1,6,5,2,7,13,-3
654565676,kennyhe1,1,61,9,22,1,8,18,3,0,10,-1
654565676,Kristjan Sigurdur,2,56,5,16,38,0,0,7,0,0,-5
654565676,jane4005,3,43,14,20,2,0,6,0,3,13,-1
654567622,kennyhe1,1,62,6,0,26,3,26,3,10,0,-6
654567622,jane4005,2,48,4,32,0,0,2,1,3,12,-2
654567622,Kristjan Sigurdur,3,47,14,19,0,3,0,8,3,15,-1
654191809,jane4005,1,57,14,32,10,0,16,2,3,0,-6
654191809,Kristjan Sigurdur,2,53,13,8,21,0,5,2,7,12,-2
654191809,kennyhe1,3,41,10,8,0,3,0,6,10,15,-1
654190686,Kristjan Sigurdur,1,54,2,0,31,5,6,6,10,1,-5
654190686,kennyhe1,2,51,13,34,0,3,0,2,7,8,-3
654190686,jane4005,3,38,10,9,0,0,6,3,5,15,0
654195784,kennyhe1,1,70,11,12,0,0,29,4,7,18,0
654195784,Kristjan Sigurdur,2,48,2,21,18,0,0,3,10,0,-4
654195784,jane4005,3,48,6,25,16,0,0,2,3,5,-3
654191971,Kristjan Sigurdur,1,68,11,14,0,4,18,7,7,18,0
654191971,kennyhe1,2,62,12,29,10,3,0,4,10,9,-3
654191971,jane4005,3,54,6,11,38,0,0,1,10,0,-6
654189909,kennyhe1,1,58,7,19,10,3,7,3,10,8,-2
654189909,Kristjan Sigurdur,2,50,4,8,0,9,0,8,10,15,0
654189909,jane4005,3,46,13,18,26,0,6,1,0,0,-5
654185565,kennyhe1,1,55,9,12,13,2,20,5,0,6,-3
654185565,Kristjan Sigurdur,2,51,14,24,0,2,0,5,3,17,0
654185565,jane4005,3,44,1,15,0,4,7,5,15,3,-5
654189433,kennyhe1,1,65,12,36,0,6,8,9,10,0,-4
654189433,jane4005,2,52,9,10,26,4,0,5,0,8,-1
654189433,Kristjan Sigurdur,3,45,13,12,13,0,0,0,7,13,0
654188780,kennyhe1,1,62,1,17,0,0,14,0,15,16,0
654188780,jane4005,2,47,9,28,18,0,0,1,0,3,-3
654188780,Kristjan Sigurdur,3,43,14,0,33,0,0,5,3,5,-3
654179436,kennyhe1,1,69,12,34,0,0,7,4,10,16,-2
654179436,jane4005,2,51,14,16,13,0,8,5,3,9,-3
654179436,Kristjan Sigurdur,3,29,13,4,16,3,5,3,0,2,-4
651765852,kennyhe1,1,59,8,26,0,4,7,4,20,0,-2
651765852,jane4005,2,51,14,10,26,0,10,4,3,0,-2
651765852,Kristjan Sigurdur,3,48,12,9,1,0,5,7,10,16,0
651757947,kennyhe1,1,61,13,34,0,0,0,2,7,18,0
651757947,Kristjan Sigurdur,2,40,7,3,26,0,0,4,3,8,-4
651757947,jane4005,3,39,3,13,1,2,14,3,10,1,-5
651750621,kennyhe1,1,63,11,18,0,6,8,6,7,18,0
651750621,jane4005,2,44,3,25,0,0,11,2,10,1,-5
651750621,Kristjan Sigurdur,3,38,13,11,20,0,0,3,0,8,-4
651742124,jane4005,1,58,9,17,38,2,0,3,0,3,-5
651742124,Kristjan Sigurdur,2,54,4,12,0,0,12,2,10,18,0
651742124,kennyhe1,3,52,10,24,0,3,7,6,10,6,-4
651283968,Kristjan Sigurdur,1,46,10,5,0,7,2,8,10,14,0
651283968,kennyhe1,2,45,13,26,21,0,0,3,0,0,-5
651283968,jane4005,3,42,4,24,0,4,10,1,0,4,-1
651289692,kennyhe1,1,62,13,16,0,10,7,12,7,12,-2
651289692,jane4005,2,50,5,30,16,0,0,0,10,0,-6
651289692,Kristjan Sigurdur,3,47,3,3,0,0,15,5,10,15,-1
651275237,kennyhe1,1,56,7,20,0,3,4,6,10,13,0
651275237,jane4005,2,54,12,26,13,0,7,3,10,0,-5
651275237,Kristjan Sigurdur,3,47,9,0,31,4,2,4,0,8,-2
651271390,kennyhe1,1,52,8,17,0,3,8,7,20,1,-4
651271390,jane4005,2,49,11,19,0,6,4,2,7,12,-1
651271390,Kristjan Sigurdur,3,45,5,0,25,0,0,7,3,13,-3
649992395,chifanle2,1,61,1,21,0,3,10,1,8,18,0
649992395,kennyhe1,2,54,12,10,31,3,0,6,10,0,-6
649992395,Kristjan Sigurdur,3,47,3,13,8,0,4,6,10,9,-3
649992462,kennyhe1,1,60,8,14,0,0,15,0,13,18,0
649992462,chifanle2,2,56,14,13,43,2,0,1,3,0,-6
649992462,Kristjan Sigurdur,3,49,13,22,0,0,11,3,7,9,-3
649992610,chifanle2,1,59,8,13,0,0,6,2,20,18,0
649992610,kennyhe1,2,44,7,10,13,5,5,3,3,8,-3
649992610,Kristjan Sigurdur,3,38,3,20,21,0,0,2,0,0,-5
649461027,kennyhe1,1,59,9,8,43,3,5,5,0,0,-5
649461027,chifanle,2,51,1,36,0,0,0,1,8,8,-2
649461027,Kristjan Sigurdur,3,46,11,14,0,5,5,6,3,13,0
649461114,kennyhe1,1,56,8,6,0,7,6,5,20,13,-1
649461114,chifanle,2,47,5,25,5,0,0,4,3,13,-3
649461114,Kristjan Sigurdur,3,22,10,8,10,2,0,1,5,1,-5
649458605,Kristjan Sigurdur,1,44,10,22,0,0,12,1,10,0,-1
649458605,kennyhe1,2,42,8,24,10,3,0,3,0,2,0
649458605,chifanle,3,38,6,12,0,5,7,5,10,0,-1
476892237,kennyhe1,1,64,3,15,0,0,22,1,10,16,0
476892237,potvina9,2,49,1,17,13,2,7,1,8,4,-3
476892237,Mikael92,3,48,13,18,5,2,0,6,7,13,-3
476892237,boejowen,4,43,5,16,26,0,0,1,3,1,-4
476892724,Soona92,1,63,14,0,62,0,0,3,3,0,-5
476892724,kennyhe1,2,55,11,22,0,0,12,1,3,17,0
476892724,Steve3110,3,53,13,34,0,4,0,3,7,8,-3
476892724,valeryK,4,50,3,0,0,7,18,8,10,9,-2
476885459,Escort25,1,47,9,9,4,9,8,9,0,8,0
476885459,kennyhe1,2,46,7,19,1,0,13,1,10,5,-3
476885459,AlexeLiebert,3,45,13,19,4,3,6,5,7,3,-2
476885459,TamarisI,4,40,10,15,0,2,8,0,10,5,0
476883626,siteusername,1,68,8,11,0,9,9,4,20,16,-1
476883626,UchWesel,2,61,13,3,26,0,23,3,7,3,-4
476883626,kennyhe1,3,57,9,29,18,4,0,4,0,5,-3
476883626,criminal26,4,37,10,3,1,4,8,3,10,11,-3
476886742,UchWesel,1,72,11,20,0,0,17,10,7,18,0
476886742,kennyhe1,2,52,13,9,0,5,7,6,7,18,0
476886742,nastypigeon,3,50,12,9,36,0,6,0,5,0,-6
476886742,tjkg,4,40,10,24,2,6,0,4,10,0,-6
476871419,kennyhe1,1,56,5,6,31,0,6,1,10,3,-1
476871419,pitbull82,2,46,9,24,10,4,0,5,0,6,-3
476871419,Fedge40,3,44,13,12,18,0,0,4,7,4,-1
476871419,Bingbongbean,4,42,10,5,0,3,12,2,10,13,-3
470234635,moshihiru,1,62,12,6,48,0,0,4,10,0,-6
470234635,kennyhe1,2,59,11,16,0,3,13,3,7,17,0
470234635,Tuttankhamen,3,55,10,13,0,8,9,4,10,12,-1
470234635,jejegold44220,4,42,9,19,1,0,11,9,0,5,-3
470235962,kennyhe1,1,78,12,0,64,0,0,4,10,3,-3
470235962,Tuttankhamen,2,52,8,15,0,8,8,1,8,13,-1
470235962,mknd31,3,50,6,8,0,3,17,4,10,10,-2
470235962,Mananza,4,46,10,19,0,4,5,6,10,6,-4
470228588,Tozto,1,57,6,9,9,0,13,4,10,13,-1
470228588,charlieec,2,51,8,4,0,5,14,12,20,0,-4
470228588,kennyhe1,3,48,9,21,4,4,2,1,0,16,0
470228588,woanegaine,4,41,11,13,16,0,0,5,7,3,-3
470228744,CEHAT,1,56,13,28,0,0,7,6,7,9,-1
470228744,Mrsmr,2,53,12,15,1,8,7,9,5,9,-1
470228744,giog21,3,49,14,12,31,3,5,1,3,0,-6
470228744,kennyhe1,4,44,8,6,0,3,5,0,20,10,0
470220221,Scipion21,1,58,10,9,0,3,21,11,10,8,-4
470220221,Hoobert88,2,56,11,24,0,10,0,9,7,8,-2
470220221,UchWesel,3,55,12,13,16,0,17,2,10,1,-4
470220221,kennyhe1,4,55,9,13,25,0,0,0,0,17,0
437581491,alanlb29,1,66,14,26,31,0,8,4,3,0,-6
437581491,SteBaldwin,2,64,12,14,0,10,8,10,10,13,-1
437581491,kennyhe1,3,50,11,14,2,0,15,0,7,14,-2
437573159,Roger That 95,1,54,9,12,18,0,5,5,0,15,-1
437573159,kennyhe1,2,51,8,4,0,13,0,4,20,12,-2
437573159,Tony Million jr,3,50,6,35,18,0,0,0,3,0,-6
437573516,kennyhe1,1,81,6,14,48,0,0,2,0,17,0
437573516,buynichenkom,2,49,7,11,0,4,19,2,10,6,-3
437573516,ManniW,3,49,9,30,18,2,0,1,0,3,-5
437579393,kennyhe1,1,56,10,14,4,0,13,1,10,14,0
437579393,SteBaldwin,2,53,12,18,0,3,15,4,10,4,-1
437579393,SantiKop,3,49,8,26,0,6,0,9,13,0,-5
437574061,VishalK,1,82,9,6,76,0,4,0,0,1,-5
437574061,kennyhe1,2,67,10,4,0,4,23,8,10,18,0
437574061,EluardEug,3,63,12,36,0,7,0,6,10,8,-4
415571407,flyingeric,1,53,8,17,0,4,0,4,20,10,-2
415571407,Kearnsy,2,53,9,22,10,0,13,1,0,8,-1
415571407,kennyhe1,3,52,10,16,0,4,17,4,10,3,-2
415571015,kennyhe1,1,64,10,22,4,7,0,3,10,18,0
415571015,flyingeric,2,51,12,3,31,0,0,2,10,8,-3
415571015,Aras83,3,47,13,25,10,0,5,5,7,0,-5
415572913,kennyhe1,1,55,10,25,0,4,0,4,10,13,-1
415572913,Emeral777,2,51,7,9,28,0,0,3,0,13,-2
415572913,Robbby77,3,41,12,9,5,0,17,5,10,0,-5
415318110,kennyhe1,1,55,12,10,8,0,16,1,10,12,-2
415318110,melimelzz,2,45,14,11,25,0,6,5,3,0,-5
415318110,wert2486,3,44,13,22,1,0,0,3,7,12,-1
414979096,kennyhe1,1,60,11,23,0,3,6,3,7,18,0
414979096,CurlySheep233,2,58,12,4,38,0,0,4,10,6,-4
414979096,prophet000,3,54,3,22,1,7,7,9,10,3,-5
414661576,kennyhe1,1,65,11,14,0,2,20,4,7,18,0
414661576,arek61,2,55,8,24,0,0,7,2,20,6,-4
414661576,tort3,3,45,10,6,31,4,0,4,2,3,-5
411709499,Pâle-Neige,1,57,12,16,0,0,16,5,10,11,-1
411709499,kennyhe1,2,53,10,26,0,2,5,3,5,13,-1
411709499,Willow12345,3,45,11,16,31,0,0,2,0,0,-4
411703628,kennyhe1,1,61,10,4,0,9,13,7,10,18,0
411703628,sabanajafi,2,59,11,40,16,0,0,1,3,3,-4
411703628,myxosomas,3,45,12,6,33,0,0,3,2,5,-4
411610043,ronan the barbarian,1,66,8,11,0,0,17,1,20,17,0
411610043,Test5050,2,55,9,12,26,0,7,3,0,9,-2
411610043,kennyhe1,3,48,6,26,13,3,0,2,10,0,-6
411616761,kennyhe1,1,60,8,9,0,4,7,6,20,15,-1
411616761,tasartir,2,44,11,12,10,4,16,4,3,0,-5
411616761,moshisushi,3,44,14,20,5,0,6,1,3,11,-2
410823627,kennyhe1,1,65,7,31,0,4,8,1,3,18,0
410823627,89Franciscus,2,57,12,18,0,3,10,10,10,9,-3
410823627,luis303,3,47,13,0,43,0,0,3,7,0,-6
410821285,TheGatekeeperRole,1,60,11,25,0,8,0,6,3,18,0
410821285,kennyhe1,2,53,13,10,26,3,0,1,7,9,-3
410821285,mattewiley,3,45,10,12,13,0,18,3,5,0,-6
410825463,SteBaldwin,1,60,13,18,0,3,22,0,7,11,-1
410825463,Kat2012,2,56,10,11,18,0,0,5,10,13,-1
410825463,kennyhe1,3,49,9,17,25,3,6,2,0,0,-4
410826822,SteBaldwin,1,56,10,12,0,8,10,8,10,10,-2
410826822,kennyhe1,2,54,14,14,21,0,0,0,3,17,-1
410826822,Quireno,3,49,5,28,13,0,0,4,10,0,-6
410827990,kennyhe1,1,60,10,22,0,10,7,10,10,4,-3
410827990,Erick_Honorato,2,49,9,18,0,0,13,0,0,18,0
410827990,Léa_0611,3,48,12,18,0,0,14,11,10,0,-5
410818569,kennyhe1,1,63,10,20,9,4,12,2,2,14,0
410818569,BuzzButterfly,2,50,13,17,16,4,0,6,7,5,-5
410818569,wonder19,3,48,8,5,1,4,14,2,20,4,-2
410506543,kennyhe1,1,52,7,23,5,4,10,1,0,9,0
410506543,gugugu,2,51,10,12,38,2,0,3,2,0,-6
410506543,AnneEliot,3,38,5,15,1,0,0,3,10,9,0
410507502,Rao86,1,61,6,12,38,3,0,4,10,0,-6
410507502,kennyhe1,2,59,8,14,0,0,8,2,20,15,0
410507502,daisi145,3,53,11,22,0,2,11,4,7,9,-2
410089000,kennyhe1,1,74,9,13,48,4,9,0,0,4,-4
410089000,HannaH109901BO,2,56,8,13,0,10,2,11,20,5,-5
410089000,AzukiHira,3,50,12,8,0,0,7,7,10,18,0
410070207,Edouardodo,1,62,14,6,48,3,5,2,3,0,-5
410070207,kennyhe1,2,55,8,26,0,0,0,3,20,7,-1
410070207,ilya-mim,3,54,12,17,0,0,12,4,10,12,-1
409770947,kennyhe1,1,61,14,14,16,0,8,2,3,18,0
409770947,giog21,2,54,9,10,26,7,0,5,0,9,-3
409770947,dbskxoxo,3,47,8,11,0,4,16,2,20,0,-6
409775685,giog21,1,65,9,8,25,0,15,1,0,16,0
409775685,bibiloxm,2,54,12,31,0,3,7,7,10,0,-4
409775685,kennyhe1,3,53,6,12,18,4,0,3,10,8,-2
409770234,dbskxoxo,1,62,10,32,0,0,8,3,10,9,0
409770234,kennyhe1,2,55,13,4,16,7,9,3,7,9,0
409770234,chrisg633,3,35,9,14,13,0,13,1,0,0,-6
409762539,kennyhe1,1,57,10,20,0,9,7,3,10,10,-2
409762539,aurens33,2,53,2,18,1,3,4,1,10,17,-1
409762539,rossela,3,38,14,0,36,0,0,5,3,0,-6
409760825,kennyhe1,1,57,11,15,0,2,11,4,7,18,0
409760825,Isidro1982,2,56,12,33,0,3,0,4,10,9,-3
409760825,Phil Dad Man,3,48,14,7,40,0,0,4,3,0,-6
409768313,kennyhe1,1,64,9,18,25,0,6,0,0,16,-1
409768313,myunderwear,2,55,13,24,0,3,7,6,7,10,-2
409768313,EmiAC,3,49,1,16,0,5,15,3,15,0,-5
409764861,kennyhe1,1,58,9,13,36,0,12,3,0,0,-6
409764861,saniya,2,56,10,21,0,6,7,2,10,12,-2
409764861,rossela,3,46,11,14,0,0,5,6,7,15,-1
409756040,kennyhe1,1,52,10,18,1,3,3,1,10,16,0
409756040,zelenac,2,49,13,12,0,5,20,7,7,0,-2
409756040,SpawnOfThespis,3,44,5,19,9,4,0,4,10,0,-2
409740197,AndreiW,1,62,9,20,4,6,12,3,0,17,0
409740197,kennyhe1,2,54,14,17,16,3,14,1,3,5,-5
409740197,mecciu96,3,46,3,17,1,4,8,5,10,4,-3
409724595,kennyhe1,1,63,12,23,0,3,2,7,10,18,0
409724595,fhhdh,2,63,9,6,50,0,12,0,0,0,-5
409724595,MBpoich,3,47,13,24,9,6,0,3,0,8,-3
409726543,kennyhe1,1,70,10,19,0,5,19,4,5,18,0
409726543,Nipalonaj,2,50,14,24,21,0,0,1,3,5,-4
409726543,Fafnir49,3,44,13,12,21,4,6,2,0,3,-4
409726720,kennyhe1,1,66,6,9,48,0,0,1,3,8,-3
409726720,rafkov,2,52,10,23,0,12,7,5,10,0,-5
409726720,pupysss,3,50,14,16,2,0,7,4,3,18,0
409686183,kennyhe1,1,57,6,15,26,0,0,1,3,13,-1
409686183,Antalavir,2,53,9,16,1,7,13,7,0,10,-1
409686183,lory_more,3,42,1,18,25,0,0,1,3,0,-5
409688871,kennyhe1,1,53,2,7,34,0,9,0,3,0,0
409688871,Chloof,2,46,12,17,0,3,9,7,10,0,0
409688871,Killer danus,3,44,10,30,0,7,0,2,5,0,0
409670869,kennyhe1,1,63,10,29,0,0,19,0,5,12,-2
409670869,7w01,2,58,13,25,0,0,8,4,7,15,-1
409670869,samshazam83,3,56,9,0,48,2,11,1,0,0,-6
409673877,Tony Million jr,1,65,8,23,0,0,16,0,20,9,-3
409673877,kennyhe1,2,52,11,19,0,0,4,4,7,18,0
409673877,Eluntua,3,52,7,8,31,0,6,3,10,0,-6
409676316,Tony Million jr,1,61,8,13,0,6,16,6,20,4,-4
409676316,redheadhunterz,2,52,12,21,0,0,15,6,10,5,-5
409676316,kennyhe1,3,50,11,21,0,4,0,4,3,18,0
409654492,kennyhe1,1,57,9,4,43,0,0,3,0,9,-2
409654492,ToSo98,2,53,11,21,0,6,6,7,7,10,-4
409654492,rdyl,3,53,8,14,0,0,13,1,20,7,-2
409646169,kennyhe1,1,66,12,6,38,0,0,1,10,12,-1
409646169,craftart,2,50,10,24,0,0,0,3,10,14,-1
409646169,GiannisBanderas,3,49,14,16,0,7,19,10,3,0,-6
409641807,kennyhe1,1,63,11,28,0,2,3,6,7,17,0
409641807,askeladd,2,59,13,4,55,0,6,0,0,0,-6
409641807,Walker Boh,3,51,1,9,0,4,13,3,15,9,-2
409644025,kennyhe1,1,48,11,18,0,4,0,11,7,10,-2
409644025,BlanquerE3C,2,47,8,7,0,8,14,4,20,0,-6
409644025,Friend4,3,44,13,11,0,0,8,2,7,17,-1
409641013,kennyhe1,1,62,11,17,0,5,14,3,7,16,0
409641013,BOMBERVERO10,2,48,3,14,0,0,21,7,10,0,-4
409641013,Holle20,3,47,9,23,13,3,0,2,0,8,-2
409649120,LordMelkor,1,70,9,6,34,4,8,6,0,13,-1
409649120,Angerbrex,2,56,10,25,0,4,14,5,10,3,-5
409649120,kennyhe1,3,49,12,17,5,0,7,2,10,11,-3
409567424,kennyhe1,1,64,10,20,0,4,7,5,10,18,0
409567424,Zychlops,2,60,14,19,26,0,6,1,3,8,-3
409567424,SOPHIE5,3,35,13,8,21,3,0,1,7,0,-5
409560322,kennyhe1,1,67,9,28,10,5,6,0,0,18,0
409560322,Jul_Mytn,2,63,14,15,48,0,0,3,2,0,-5
409560322,Matheo0370,3,60,10,7,0,8,20,10,10,8,-3
409561610,Michael PATRAS,1,70,11,13,0,10,14,9,7,17,0
409561610,kennyhe1,2,59,8,19,0,0,13,0,20,9,-2
409561610,FafaCo10,3,47,14,22,26,0,0,2,3,0,-6
409559357,kennyhe1,1,53,12,16,2,4,0,3,10,18,0
409559357,coldsuper,2,52,10,18,1,3,18,8,10,0,-6
409559357,Yuto1229,3,49,14,0,36,3,0,1,3,9,-3
409558935,kennyhe1,1,54,7,22,1,3,0,2,10,16,0
409558935,Narlinn,2,44,12,26,9,0,6,2,5,0,-4
409558935,scw29,3,42,1,0,18,0,12,3,3,8,-2
409551243,kennyhe1,1,55,9,13,13,1,14,1,0,13,0
409551243,Rao86,2,52,12,15,13,3,5,5,10,3,-2
409551243,psychosmile,3,47,3,22,2,0,14,4,3,5,-3
409553851,kennyhe1,1,59,11,11,0,9,12,8,7,13,-1
409553851,Raho,2,49,12,4,16,0,7,4,10,10,-2
409553851,Beagnocchetta,3,48,13,32,10,0,0,3,7,0,-4
409548169,kennyhe1,1,56,12,14,31,4,0,3,0,8,-4
409548169,Solyana,2,56,11,14,2,0,12,3,7,18,0
409548169,TeckerOn,3,52,13,26,0,3,17,3,7,1,-5
409541987,nanariho,1,55,14,17,18,0,5,2,3,11,-1
409541987,kennyhe1,2,47,8,12,0,0,0,3,20,13,-1
409541987,rdyl,3,45,13,19,0,7,11,5,7,0,-4
409547695,Peter 120388,1,62,14,19,38,0,5,3,3,0,-6
409547695,LeLuxo,2,58,1,12,0,8,14,3,15,9,-3
409547695,kennyhe1,3,57,11,20,0,0,13,3,3,18,0
409540914,kennyhe1,1,62,11,21,0,5,4,7,7,18,0
409540914,Zanovar,2,56,12,19,0,8,7,8,10,8,-4
409540914,azbon,3,48,9,6,45,0,0,1,0,1,-5
409545551,kennyhe1,1,57,6,9,18,0,3,1,10,17,-1
409545551,nastypigeon,2,55,14,37,0,0,7,0,3,10,-2
409545551,ToSo98,3,43,12,3,33,6,0,5,2,0,-6
409457025,7w01,1,56,14,21,26,0,0,1,3,7,-2
409457025,kennyhe1,2,49,12,7,13,3,6,3,10,10,-3
409457025,yoshio1103,3,38,13,15,0,9,4,10,0,2,-2
409454293,Steve3110,1,57,3,10,1,8,16,4,10,10,-2
409454293,Orzzz,2,57,14,18,26,0,15,2,2,0,-6
409454293,kennyhe1,3,55,13,19,5,0,7,1,7,17,-1
409451252,clauv_pv,1,73,12,6,55,0,10,3,5,0,-6
409451252,kennyhe1,2,71,9,20,10,5,17,3,0,17,-1
409451252,Orzzz,3,52,10,29,0,3,0,2,10,10,-2
409450231,ehdxp1110,1,60,2,4,48,1,6,4,3,0,-6
409450231,Orzzz,2,58,12,27,0,0,10,1,10,12,-2
409450231,kennyhe1,3,48,11,19,1,3,6,5,0,15,-1
409444378,kennyhe1,1,68,11,20,0,2,15,6,7,18,0
409444378,yoshio1103,2,50,9,15,26,0,5,3,0,5,-4
409444378,coltaine1,3,44,13,12,26,2,5,0,0,3,-4
409353016,nafanya-star,1,57,9,22,38,0,0,0,0,1,-4
